b,f,f,f,f,f,f,b,f,b,f,f,f,f,,f,b,f,b,f,,f,f,f,f,b,f,b,f,f,f,f,f,f,b,f
b,f,f,f,f,f,b,b,f,b,b,f,f,f,,f,b,f,b,f,,f,f,f,b,b,f,b,b,f,f,f,f,f,b,f
b,f,f,f,f,b,b,f,b,f,b,b,f,f,,f,b,f,b,f,,f,f,b,b,f,b,f,b,b,f,f,f,f,b,f
b,f,f,f,b,b,f,b,b,b,f,b,b,f,,f,b,f,b,f,,f,b,b,f,b,b,b,f,b,b,f,f,f,b,f
b,b,f,f,b,f,b,b,f,b,b,f,b,f,,b,b,f,b,b,,f,b,f,b,b,f,b,b,f,b,f,f,b,b,f
f,b,b,f,f,b,b,f,f,f,b,b,,f,b-co,b,f,b,f,b,b-co,f,,b,b,f,f,f,b,b,f,f,b,b,f,b
b,f,b,b,f,f,f,b,f,b,,f,f-co,b,b,f,b,b,b,f,b,b,f-co,f,,b,f,b,f,f,f,b,b,f,b,b
b,b,f,b,b,f,f,b,f,b,,f,b,b,f,b,b,f,b,b,f,b,b,f,,b,f,b,f,f,b,b,f,b,b,f
f,b,b,f,b,b,f,b,f,b,f-co,,b,f,b,b,f,f,f,b,b,f,b,,f-co,b,f,b,f,b,b,f,b,b,f,f
b,f,b,b,f,b,f,b,f,b,f,,f,b,b,f,b,f,b,f,b,b,f,,f,b,f,b,f,b,f,b,b,f,b,f
b,f,f,b,b,f,b,b,f,b,b,f-co,b,b,f,f,b,f,b,f,f,b,b,f-co,b,b,f,b,b,f,b,b,f,f,b,f
b,f,f,f,f,b,b,f,b,f,b,b,f,f,f,f,b,f,b,f,f,f,f,b,b,f,b,f,b,b,f,f,f,f,b,f
b,f,f,f,b,b,f,b,b,b,f,b,b,f,f,f,b,f,b,f,f,f,b,b,f,b,b,b,f,b,b,f,f,f,b,f
b,f,f,b,b,f,b,b,f,b,b,f,b,b,f,f,b,f,b,f,f,b,b,f,b,b,f,b,b,f,b,b,f,f,b,f
b,b,f,b,f,b,b,f,f,f,b,b,f,b,f,b,b,f,b,b,f,b,f,b,b,f,f,f,b,b,f,b,f,b,b,f
f,b,b,f,b,b,f,b,f,b,f,b,b,f,b,b,f,b,f,b,b,f,b,b,f,b,f,b,f,b,b,f,b,b,f,b
b,f,b,b,f,f,f,b,f,b,f,f,f,b,b,f,b,b,b,f,b,b,f,f,f,b,f,b,f,f,f,b,b,f,b,b
b,b,f,b,b,f,f,b,f,b,f,f,b,b,f,b,b,f,b,b,f,b,b,f,f,b,f,b,f,f,b,b,f,b,b,f
f,b,b,f,b,b,f,b,f,b,f,b,b,f,b,b,f,f,f,b,b,f,b,b,f,b,f,b,f,b,b,f,b,b,f,f
b,f,b,b,f,b,f,b,f,b,f,b,f,b,b,f,b,f,b,f,b,b,f,b,f,b,f,b,f,b,f,b,b,f,b,f
b,f,f,b,b,f,b,b,f,b,b,f,b,b,f,f,b,f,b,f,f,b,b,f,b,b,f,b,b,f,b,b,f,f,b,f
b,f,f,f,f,b,b,f,b,f,b,b,f,f,f,f,b,f,b,f,f,f,f,b,b,f,b,f,b,b,f,f,f,f,b,f
b,f,f,f,b,b,f,b,b,b,f,b,b,f,f,f,b,f,b,f,f,f,b,b,f,b,b,b,f,b,b,f,f,f,b,f
b,f,f,b,b,f,b,b,f,b,b,f,b,b,f,f,b,f,b,f,f,b,b,f,b,b,f,b,b,f,b,b,f,f,b,f
b,b,f,b,f,b,b,f,f,f,b,b,f,b,f,b,b,f,b,b,f,b,f,b,b,f,f,f,b,b,f,b,f,b,b,f
f,b,b,f,b,b,f,b,f,b,f,b,b,f,b,b,f,b,f,b,b,f,b,b,f,b,f,b,f,b,b,f,b,b,f,b
b,f,b,b,f,f,f,b,f,b-k2tog,,f,f,b,b,f,b,b,b,f,b,b,f,f,f,b,f,b-k2tog,,f,f,b,b,f,b,b
b,b,f,b,b,f,f,b,f,b,,f,b,b,f,b,b,f,b,b,f,b,b,f,f,b,f,b,,f,b,b,f,b,b,f
f,b,b,f,b,b,f,b,f,b,,b,b,f,b,b,f,f,f,b,b,f,b,b,f,b,f,b,,b,b,f,b,b,f,f
b,f,b,b,f,b,f,b,f,b,,b,f,b,b,f,b,f,b,f,b,b,f,b,f,b,f,b,,b,f,b,b,f,b,f
b,f,f,b,b,f,b,b,f,b,,f,b,b,f,f,b,f,b,f,f,b,b,f,b,b,f,b,,f,b,b,f,f,b,f
b,f,f,f,f,b,b,f,b,f,,b,f,f,f,f,b,f,b,f,f,f,f,b,b,f,b,f,,b,f,f,f,f,b,f
b,f,f,f,b,b,f,b,b,b,,b,b,f,f,f,b,f,b,f,f,f,b,b,f,b,b,b,,b,b,f,f,f,b,f
b,f,f,b,b,f,b,b,f,b,,f,b,b,f,f,b,f,b,f,f,b,b,f,b,b,f,b,,f,b,b,f,f,b,f
b,b,f,b,f,b,b,f,f,f,,b,f,b,f,b,b,f,b,b,f,b,f,b,b,f,f,f,,b,f,b,f,b,b,f
f,b,b,f,b,b,f,b,f,b,,b,b,f,b,b,f,b,f,b,b,f,b,b,f,b,f,b,,b,b,f,b,b,f,b
b,f,b,b,f,f,f,b,f,b,,f,f,b,b,f,b,b,b,f,b,b,f,f,f,b,f,b,,f,f,b,b,f,b,b
b,b,f,b,b,f-k2tog,,b,f,b,,f,b,b,f,b,b,f,b,b,f,b,b,f-k2tog,,b,f,b,,f,b,b,f,b,b,f
f,b,b,f,b,f,,b,f,b,,f,b,f,b,b,f,f,f,b,b,f,b,f,,b,f,b,,f,b,f,b,b,f,f
b,f,b,b,f,f,,b,f,b,,f,f,b,b,f,b,f,b,f,b,b,f,f,,b,f,b,,f,f,b,b,f,b,f
b,f,f,f,f,f,,b,f,b,,f,f,f,f,f,b,f,b,f,f,f,f,f,,b,f,b,,f,f,f,f,f,b,f
b,f,f,f,f,b,,f,b,f,,b,f,f,f,f,b,f,b,f,f,f,f,b,,f,b,f,,b,f,f,f,f,b,f
b,f,f,f,b,b,,b,b,b,,b,b,f,f,f,b,f,b,f,f,f,b,b,,b,b,b,,b,b,f,f,f,b,f
b,f,f,b,b,f,,b,f,b,,f,b,b,f,f,b,f,b,f,f,b,b,f,,b,f,b,,f,b,b,f,f,b,f
